scenariotitle,hsc,starthsc,projstart,projend,psgcInput,fitTo,scalelevel,dateadj,lambdaValues,lambdaDates,lambda,kappa,compliance,allcompartments,vax1,vax2,vaxDate
VS1(GEEEEE),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.14540;0.48332;0.46005;0.44568;0.43762;0.43334,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0015,0.0266;0.0266,2021-07-31;2021-09-30
VS1(GEEEEM),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.45837;0.45049;0.18575,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0015,0.0266;0.0266,2021-07-31;2021-09-30
VS1(GEEEMM),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.45837;0.19190;0.18575,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0015,0.0266;0.0266,2021-07-31;2021-09-30
VS1(GEEMMM),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.20349;0.19190;0.18575,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0015,0.0266;0.0266,2021-07-31;2021-09-30
VS1(GEEMMG),,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.20349;0.19190;0.02290,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0015,0.0266;0.0266,2021-07-31;2021-09-30
VS2(GEEEEE),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.14540;0.48332;0.46005;0.44568;0.43762;0.43334,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0046,0.0266;0.0266,2021-07-31;2021-09-30
VS2(GEEEEM),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.45837;0.45049;0.18575,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0046,0.0266;0.0266,2021-07-31;2021-09-30
VS2(GEEEMM),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.45837;0.19190;0.18575,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0046,0.0266;0.0266,2021-07-31;2021-09-30
VS2(GEEMMM),continue,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.20349;0.19190;0.18575,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0046,0.0266;0.0266,2021-07-31;2021-09-30
VS2(GEEMMG),,7/1/21,7/1/21,9/1/21,40000000,Cumulative,0,FALSE,0.3535759892;0.31163;0.26880;0.21027;0.16496;0.49515;0.47241;0.20349;0.19190;0.02290,2021-07-08;2021-07-15;2021-07-22;2021-07-29;2021-08-05;2021-08-12;2021-08-19;2021-08-26;2021-09-02;2025-01-01,0,0,0,1,0.0015;0.0046,0.0266;0.0266,2021-07-31;2021-09-30